,"DEDASPB01","03758","0"
,"DEDASPB01","03758","0"
,"DEDASPB01","04007","0"
,"DEDASPB01","04012","0"
,"DEDASPB01","76007","0"
,"DEDASPB01","04051","0"
,"DEDCSLFS01","42432","0"
,"DEDCSLFS01","43559","0"
,"DEDCSLFS01","61100","0"
,"DEDCSLFS01","42421","0"
,"DEDCSLFS01","43560","0"
,"DEDCSLFS01","42426","0"
,"DEDCSLFS01","43556","0"
,"DEDCSLFS01","42429","0"
,"DEDCSLFS01","43557","0"
,"DEDCSLFS01","77633","0"
,"DEDCSLFS01","77634","0"
,"DEDCSLFS01","131852","0"
,"DEDCSLFS01","131853","0"
,"DEDCSLFS01","77753","0"
,"DEDCSLFS02","43554","0"
,"DEDCSLFS02","42430","0"
,"DEDCSLFS02","42425","0"
,"DEDCSLFS02","42428","0"
,"DEDCSLFS02","42431","0"
,"DEDCSLFS02","133448","0"
,"DEDCSLFS02","42427","0"
,"DEDCSLFS02","42422","0"
,"DEDCSLFS02","77635","0"
,"DEDCSLFS02","77636","0"
,"DEDCSLFS02","77750","0"
,"DEDCSLFS03","46138","0"
,"DEDCSLFS03","77616","0"
,"DEDCSLFS03","77620","0"
,"DEDCSLFS03","77624","0"
,"DEDCSLFS03","77625","0"
,"DEDCSLFS03","42418","0"
,"DEDCSLFS03","77540","0"
,"DEDCSLFS03","42419","0"
,"DEDCSLFS03","112003","0"
,"DEDCSLFS04","46141","0"
,"DEDCSLFS04","77619","0"
,"DEDCSLFS04","77622","0"
,"DEDCSLFS04","77623","0"
,"DEDCSLFS04","60987","0"
,"DEDCSLFS04","42423","0"
,"DEDCSLFS05","43558","0"
,"DEDCSLFS05","43555","0"
,"DEDCSLFS06","118757","0"
,"DEDCSLFS06","49978","0"
,"DEDCSLFS06","43708","0"
,"DEDCSLFS06","43709","0"
,"DEDCSLFS06","72268","0"
,"DEDCSLFS06","43710","0"
,"DEDCSLFS06","60821","0"
,"DEDCSLFS06","60822","0"
,"DEDCSLFS07","103802","0"
,"DEDCSLFS07","42420","0"
,"DEDCSLFS07","42435","0"
,"DEDCSLFS08","49977","0"
,"DEDCSLFS08","42435","0"
,"DEDCSLFS08","46123","0"
,"DEDCSLFS08","46124","0"
,"DEDCSLFS08","46126","0"
,"DEDCSLFS09","67663","0"
,"DEDCSLFS11","60848","0"
,"DEDCSLFS14","105694","0"
,"DEDDLMF01","76932","0"
,"DEDDLMF01","76933","0"
,"DEDDLMF01","76934","0"
,"DEDDLMF01","76935","0"
,"DEDDLMF01","124868","0"
,"DEDEA001","117645","0"
,"DEDEA001","42284","0"
,"DEDEA001","124865","0"
,"DEDEA001","77956","0"
,"DEDEA001","94041","0"
,"DEDEA001","76922","0"
,"DEDEA001","124845","0"
,"DEDEA001","124845","0"
,"DEDEA001","103792","0"
,"DEDEA001","76918","0"
,"DEDEA001","76918","0"
,"DEDEA001","76919","0"
,"DEDEA001","49954","0"
,"DEDEA001","49954","0"
,"DEDEA001","124839","0"
,"DEDEA001","89596","0"
,"DEDEA001","76934","0"
,"DEDEA001","76902","0"
,"DEDEA001","76928","0"
,"DEDEA001","76929","0"
,"DEDEA001","104109","0"
,"DEDEA001","103808","0"
,"DEDEA001","94260","0"
,"DEDEA001","124827","0"
,"DEDEA002","58209","0"
