"DEDQA028","A028","DEDQ"
"DEDQA029","A029","DEDQ"
"DEDQA030","A030","DEDQ"
"DEDQA031","A031","DEDQ"
"DEDRA001","A001","DEDR"
"DEDRA002","A002","DEDR"
"DEDRA003","A003","DEDR"
"DEDRA004","A004","DEDR"
"DEDRLC05","LC05","DEDR"
"DEDRLC06","LC06","DEDR"
"DEDRLC07","LC07","DEDR"
"DEDRLC08","LC08","DEDR"
"DEDRLC09","LC09","DEDR"
"DEDRLC10","LC10","DEDR"
"DEDRLC11","LC11","DEDR"
"DEDSA002","A002","DEDS"
"DEDSLC01","LC01","DEDS"
"DEDSLC02","LC02","DEDS"
"DEDTA001","A001","DEDT"
"DEDTA002","A002","DEDT"
"DEDTA003","A003","DEDT"
"DEDTA004","A004","DEDT"
"DEDTA005","A005","DEDT"
"DEDTA006","A006","DEDT"
"DEDTA007","A007","DEDT"
"DEDTA008","A008","DEDT"
"DEDTA009","A009","DEDT"
"DEDTA010","A010","DEDT"
"DEDTA011","A011","DEDT"
"DEDTA012","A012","DEDT"
"DEDTA013","A013","DEDT"
"DEDTA014","A014","DEDT"
"DEDTA015","A015","DEDT"
"DEDTA016","A016","DEDT"
"DEDTA017","A017","DEDT"
"DEDTA018","A018","DEDT"
"DEDTA019","A019","DEDT"
"DEDTA020","A020","DEDT"
"DEDTA021","A021","DEDT"
"DEDTA022","A022","DEDT"
"DEDTA023","A023","DEDT"
"DEDTA024","A024","DEDT"
"DEDUA001","A001","DEDU"
"DEDUA002","A002","DEDU"
"DEDUA003","A003","DEDU"
"DEDUA004","A004","DEDU"
"DEDUA005","A005","DEDU"
"DEDUA006","A006","DEDU"
"DEDUA007","A007","DEDU"
"DEDUA008","A008","DEDU"
"DEDUA009","A009","DEDU"
"DEDUA010","A010","DEDU"
"DEDUA011","A011","DEDU"
"DEDUA012","A012","DEDU"
"DEDUA013","A013","DEDU"
"DEDUA014","A014","DEDU"
"DEDUA015","A015","DEDU"
"DEDUA016","A016","DEDU"
"DEDUA017","A017","DEDU"
"DEDVA001","A001","DEDV"
"DEDVA002","A002","DEDV"
"DEDVA003","A003","DEDV"
"DEDVA004","A004","DEDV"
"DEDVA005","A005","DEDV"
"DEDVA006","A006","DEDV"
"DEDVA007","A007","DEDV"
"DEDVA008","A008","DEDV"
"DEDVA009","A009","DEDV"
"DEDVA009A","A009A","DEDV"
"DEDVA011","A011","DEDV"
"DEDVA012","A012","DEDV"
"DEDVA013","A013","DEDV"
"DEDVA014","A014","DEDV"
"DEDVA015","A015","DEDV"
"DEDVA016","A016","DEDV"
"DEDVA017","A017","DEDV"
"DEDVA018","A018","DEDV"
"DEDVA019","A019","DEDV"
"DEDVLC01","LC01","DEDV"
"DEDVLC02","LC02","DEDV"
"DEDWA001","A001","DEDW"
"DEDWA002","A002","DEDW"
"DEDWLC01","LC01","DEDW"
"DEDXA001","A001","DEDX"
"DEDXA002","A002","DEDX"
"DEDXA003","A003","DEDX"
"DEDXA004","A004","DEDX"
"DEDXA005","A005","DEDX"
"DEDXA006","A006","DEDX"
"DEDXA007","A007","DEDX"
"DEDXA008","A008","DEDX"
"DEDXA009","A009","DEDX"
"DEDXA010","A010","DEDX"
"DEDXA011","A011","DEDX"
"DEDXA012","A012","DEDX"
"DEDXA013","A013","DEDX"
"DEDXA014","A014","DEDX"
"DEDXA015","A015","DEDX"
"DEDXA016","A016","DEDX"
"DEDXA017","A017","DEDX"
"DEDXA018","A018","DEDX"
"DEDXA019","A019","DEDX"
"DEDXA020","A020","DEDX"
"DEDXA021","A021","DEDX"
"DEDXA022","A022","DEDX"
"DEDXA023","A023","DEDX"
"DEDXLC01","LC01","DEDX"
"DUCT1LC02","LC02","DUCT1"
"DUCT1LC03","LC03","DUCT1"
"DUCT1LC04","LC04","DUCT1"
"DUCT1LC05","LC05","DUCT1"
"DUCT1LC06","LC06","DUCT1"
"DUCT1LC07","LC07","DUCT1"
"DUCT1LC08","LC08","DUCT1"
"DUCT1LC09","LC09","DUCT1"
"DUCT1LC10","LC10","DUCT1"
"DUCT2LC02","LC02","DUCT2"
"DUCT2LC03","LC03","DUCT2"
"DUCT2LC04","LC04","DUCT2"
"DUCT2LC05","LC05","DUCT2"
"DUCT2LC06","LC06","DUCT2"
"DUCT2LC07","LC07","DUCT2"
"DUCT2LC08","LC08","DUCT2"
"DUCT2LC09","LC09","DUCT2"
"DUCT2LC10","LC10","DUCT2"
