,"19:00","20:55","M","58246"
,"15:00","16:55","L","104108"
,"11:00","12:55","MJ","83451"
,"07:00","08:55","M","58536"
,"13:00","14:55","I","58790"
,"09:00","09:55","I","58187"
,"15:00","15:55","V","58595"
,"07:00","08:55","L","102071"
,"11:00","11:55","V","42610"
,"19:00","20:55","I","103808"
,"09:00","10:55","V","103816"
,"11:00","12:55","L","103817"
,"13:00","14:55","V","42803"
,"11:00","12:55","I","58779"
,"15:00","16:55","I","58148"
,"09:00","10:55","S","88746"
,"09:00","10:55","L","117671"
,"13:00","14:55","L","117630"
,"19:00","20:55","V","94260"
,"07:00","08:55","S","103791"
,"19:00","20:55","J","103791"
,"09:00","10:55","M","124825"
,"09:00","10:55","J","124825"
,"15:00","15:55","L","76899"
,"10:00","10:55","V","49934"
,"07:00","08:55","M","95634"
,"16:00","18:55","J","49937"
,"17:00","18:55","M","49937"
,"11:00","12:55","I","76917"
,"17:00","18:55","I","76919"
,"13:00","14:55","M","117656"
,"11:00","12:55","M","123243"
,"10:00","10:55","M","42389"
,"10:00","12:55","J","42389"
,"11:00","12:55","V","42389"
,"08:00","09:55","V","42391"
,"13:00","14:55","V","42392"
,"15:00","15:55","J","42392"
,"07:00","07:55","V","117637"
,"07:00","08:55","J","14449"
,"09:00","10:55","L","76932"
,"13:00","14:55","L","76930"
,"13:00","14:55","J","104109"
,"11:00","12:55","L","58552"
,"15:00","16:55","M","58595"
,"09:00","09:55","J","117683"
,"16:00","16:55","V","67485"
,"07:00","08:55","L","42597"
,"07:00","08:55","I","76925"
,"09:00","10:55","I","42801"
,"15:00","16:55","I","42804"
,"19:00","20:55","M","76938"
,"17:00","18:55","L","76939"
,"13:00","14:55","I","117630"
,"07:00","08:55","S","95924"
,"19:00","20:55","LI","95924"
,"19:00","19:55","V","103790"
,"09:00","13:55","S","49931"
,"09:00","10:55","MJ","49934"
,"15:00","16:55","M","94041"
,"17:00","18:55","M","84579"
,"17:00","18:55","J","84579"
,"07:00","08:55","J","76921"
,"19:00","20:55","LI","49965"
,"19:00","19:55","V","49965"
,"07:00","08:55","L","49960"
,"11:00","12:55","L","42380"
,"13:00","14:55","V","124849"
,"09:00","10:55","LI","55412"
,"11:00","12:55","I","42405"
,"15:00","15:55","I","76935"
,"15:00","16:55","L","91422"
,"17:00","17:55","V","42520"
,"09:00","10:55","V","124861"
,"11:00","12:55","M","42585"
,"07:00","08:55","M","67482"
,"07:00","08:55","I","102071"
,"13:00","14:55","L","44716"
,"13:00","14:55","M","49939"
,"13:00","15:55","J","49939"
,"13:00","14:55","I","76936"
,"09:00","12:55","S","58605"
,"11:00","12:55","J","103788"
,"19:00","20:55","MJ","117643"
,"17:00","18:55","LI","103820"
,"13:00","14:55","J","117648"
,"15:00","16:55","L","90105"
,"07:00","08:55","IV","90301"
,"11:00","11:55","V","42304"
,"17:00","18:55","LI","49941"
,"17:00","17:55","V","49941"
,"12:00","12:55","V","76917"
,"13:00","15:55","M","42392"
,"13:00","14:55","LI","76941"
,"09:00","10:55","V","124837"
,"07:00","09:55","S","42399"
,"11:00","12:55","L","42405"
,"07:00","08:55","M","117637"
,"09:00","10:55","J","117639"
,"11:00","11:55","M","76933"
,"15:00","16:55","J","91422"
,"09:00","10:55","M","117683"
,"09:00","10:55","LI","44744"
,"11:00","12:55","J","42585"
,"07:00","08:55","J","67482"
,"13:00","14:55","V","44716"
,"17:00","18:55","MJ","102072"
,"15:00","16:55","I","76926"
,"19:00","20:55","L","42795"
,"11:00","12:55","I","86104"
,"19:00","19:55","I","103791"
,"12:00","12:55","M","95611"
,"16:00","16:55","V","49962"
,"07:00","08:55","MJ","42253"
,"15:00","16:55","LI","42250"
,"17:00","18:55","MJ","42299"
,"18:00","18:55","V","42299"
,"13:00","14:55","MJ","42297"
,"14:00","14:55","V","42297"
,"07:00","07:55","I","35659"
,"19:00","20:55","LI","42335"
,"07:00","09:55","V","42342"
,"10:00","10:55","I","81713"
,"19:00","20:55","M","42412"
,"07:00","08:55","L","78707"
,"08:00","09:55","I","78703"
